Sector;Year;WageGap
Management;2010;22,6
Management;2011;23
Management;2012;22,7
Management;2013;22,2
Management;2014;21,8
Management;2015;21,6
Management;2016;21
Management;2017;20,7
Management;2018;20
Management;2019;19,8
Caregiving;2010;-6,2
Caregiving;2011;-5
Caregiving;2012;-5
Caregiving;2013;-4,8
Caregiving;2014;-4,4
Caregiving;2015;-4,2
Caregiving;2016;-3,9
Caregiving;2017;-3,1
Caregiving;2018;-2,7
Caregiving;2019;-2,9
Education;2010;8,9
Education;2011;8,8
Education;2012;8,7
Education;2013;9
Education;2014;8
Education;2015;7,2
Education;2016;6,8
Education;2017;6,6
Education;2018;6,8
Education;2019;7